Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
PA0012,One pcs cross body,Swimwear,2,8,18,0,, exclusive,,,,,,,,,,,,,,
PA0013,Bikini Pad,Swimwear,2,4.3,12,0,, exclusive,,,,,,,,,,,,,,
PA0014,Bikini Coat,Swimwear,2,6.9,17,0,, exclusive,,,,,,,,,,,,,,
PA0015,Bikini Push up cross waist,Swimwear,2,7.2,15,0,, exclusive,,,,,,,,,,,,,,
PA0016,Bikini push up X,Swimwear,2,7.2,17,0,, exclusive,,,,,,,,,,,,,,
PA0017,One Pcs tube,Swimwear,2,7.7,18,0,, exclusive,,,,,,,,,,,,,,
PA0018,Man Pants Short,Man Swimwear,1,3.4,8,0,, exclusive,,,,,,,,,,,,,,
PA0019,Man Pants Long,Man Swimwear,1,4,8,0,, exclusive,,,,,,,,,,,,,,
PA0020,One Pcs Knit,Swimwear,1,7.1,14,0,, exclusive,,,,,,,,,,,,,,
Pant015,Apparel Pant015,Swimwear,1,2.8,8,0,, exclusive,,,,,,,,,,,,,,
Pony016,Pony dress,Kid Swimwear,2,8.5,19,0,, exclusive,,,,,,,,,,,,,,
PR-00001,Sun glasses,Accessories,1,4,10,0,, exclusive,,,,,,,,,,,,,,
PR-00002,gift box M,Accessories,1,1.5,6,0,, exclusive,,,,,,,,,,,,,,
PR-00003,gift box L,Accessories,1,1.5,6,0,, exclusive,,,,,,,,,,,,,,
PR-00004,Doom,Accessories,1,1.6,2,0,, exclusive,,,,,,,,,,,,,,
PR-00005,Plastic Bag,Accessories,1,1.5,8,0,, exclusive,,,,,,,,,,,,,,
PR-00006,Beach Hat,Accessories,1,1.8,8,0,, exclusive,,,,,,,,,,,,,,
SL002SW-3-1,Black cross over bikini-S,Swimwear,2,6.5,14,0,, exclusive,,,,,,,,,,,,,,
SL002SW-3-2,Black cross over bikini-M,Swimwear,2,6.5,14,0,, exclusive,,,,,,,,,,,,,,
SL002SW-5-1,Red cross over bikini-S,Swimwear,2,6.5,14,0,, exclusive,,,,,,,,,,,,,,
SL002SW-5-2,Red cross over bikini-M,Swimwear,2,6.5,14,0,, exclusive,,,,,,,,,,,,,,
SL017SW,2 pcs Bikini Black (M),Swimwear,2,7,8,0,, exclusive,,,,,,,,,,,,,,
SL0538W-2,Bralette White,Clothes,1,4.3,7,0,, exclusive,,,,,,,,,,,,,,
SL0660W-2,Embroidered bra,Clothes,1,4.6,7,0,, exclusive,,,,,,,,,,,,,,
SL0681W-2,Bralette Black,Clothes,1,4.6,7,0,, exclusive,,,,,,,,,,,,,,
SL0683W,Embroidered bra,Clothes,1,4.6,7,0,, exclusive,,,,,,,,,,,,,,
SL0695W-1,Bralette Black,Clothes,1,4.6,7,0,, exclusive,,,,,,,,,,,,,,
SL23222-2,Sticky Bra,Accessories,1,2.3,5,0,, exclusive,,,,,,,,,,,,,,
SL26839M-4,Gray dress Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL26839M-5,Black  Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL26839M-6,White dress Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL26840M-10,Women Lingerie Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL26840M-4,Gray Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL26840M-5,Black Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL26840M-7,Light Purple Sleepwear,Sleepwear,2,6.1,13,0,, exclusive,,,,,,,,,,,,,,
SL40007-3,Donut Beach Coverup,Accessories,1,5.85,10,0,, exclusive,,,,,,,,,,,,,,
SL40008,Towel Beach,Accessories,1,5,10,0,, exclusive,,,,,,,,,,,,,,
SL40012,Round Towel,Accessories,1,6.1,11,0,, exclusive,,,,,,,,,,,,,,
SL40014,Flamigo towel,Accessories,1,6.2,10,0,, exclusive,,,,,,,,,,,,,,
SL40022,V neck cover up,Coverup,1,5.5,11,0,, exclusive,,,,,,,,,,,,,,
SL40024,cover up black,Coverup,1,5.5,12,0,, exclusive,,,,,,,,,,,,,,
SL40026,Bikini Coverup White,Coverup,1,9.5,15,0,, exclusive,,,,,,,,,,,,,,
SL40040-2,One Pcs Printed Zip Back,Swimwear,1,10.8,19,0,, exclusive,,,,,,,,,,,,,,
SL40041,One Pcs Printed Zip Front,Swimwear,1,10.8,19,0,, exclusive,,,,,,,,,,,,,,
SL40042,2 1s Print long sleeve,Swimwear,2,10.8,19,0,, exclusive,,,,,,,,,,,,,,
SL40047,Flora one pcs,Swimwear,1,6.8,17,0,, exclusive,,,,,,,,,,,,,,
SL40055,Floral push up,Swimwear,2,6.8,18,0,, exclusive,,,,,,,,,,,,,,
